modelo,q_norm,vazao,geracao_bruta,geracao_pos_processada,corte_mwmed,derivada_mw_por_m3s,derivada_alvo_mw_por_m3s
pinn_multivariada,0.020202020202020204,2549.8983684501263,5716.181665507564,5716.181665507564,0,1.0919542675692855,1.041822
pinn_multivariada,0.030303030303030304,2734.2650331439395,5919.0969436029,5919.0969436029,0,1.109248827876725,1.041822
pinn_multivariada,0.04040404040404041,2918.6316978377527,6125.193412838871,6125.193412838871,0,1.1264567463816741,1.041822
pinn_multivariada,0.050505050505050504,3102.9983625315654,6334.451253130449,6334.451253130449,0,1.1435357688795813,1.041822
pinn_multivariada,0.06060606060606061,3287.365027225379,6546.842560143725,6546.842560143725,0,1.1604404172314517,1.041822
pinn_multivariada,0.0707070707070707,3471.7316919191917,6762.330731723293,6762.330731723293,0,1.1771217796971456,1.041822
pinn_multivariada,0.08080808080808081,3656.0983566130053,6980.869814928906,6980.869814928906,0,1.1935272938692647,1.041822
pinn_multivariada,0.09090909090909091,3840.465021306818,7202.403812666751,7202.403812666751,0,1.2096005262119474,1.041822
pinn_multivariada,0.10101010101010101,4024.831686000631,7426.865949758852,7426.865949758852,0,1.225280953536943,1.041822
pinn_multivariada,0.1111111111111111,4209.198350694444,7654.177899412046,7654.177899412046,0,1.2405037532365109,1.041822
pinn_multivariada,0.12121212121212122,4393.565015388258,7884.248972451673,7884.248972451673,0,1.2551996106979182,1.041822
pinn_multivariada,0.13131313131313133,4577.931680082071,8116.975273394288,8116.975273394288,0,1.269294554029154,1.041822
pinn_multivariada,0.1414141414141414,4762.298344775883,8352.23882946112,8352.23882946112,0,1.2827098279599358,1.041822
pinn_multivariada,0.15151515151515152,4946.665009469697,8589.906700980815,8589.906700980815,0,1.2953618205012822,1.041822
pinn_multivariada,0.16161616161616163,5131.031674163511,8829.830084284144,8829.830084284144,0,1.3071620575472784,1.041822
pinn_multivariada,0.1717171717171717,5315.398338857323,9071.843421126738,9071.843421126738,0,1.3180172820126257,1.041822
pinn_multivariada,0.18181818181818182,5499.765003551136,9315.76353184068,9315.76353184068,0,1.3278296351792873,1.041822
pinn_multivariada,0.1919191919191919,5684.131668244949,9561.388792743066,9561.388792743066,0,1.3364969585895252,1.041822
