modelo,formulacao,grupo_features,feature,peso
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_ma7,0.4314340205
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_ma14,0.1023416308
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_ma30,-0.0818019969
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,dq_lag1,-0.0646345612
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,dq_lag7,0.0274155596
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_lag1,0.0327459299
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_lag2,0.0275733767
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_lag3,0.1893048197
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_lag7,0.0450174055
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_lag14,-0.0494503725
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_lag30,-0.0709112739
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_ma3,0.0837709901
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_ma7,-0.1937555701
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_ma14,-0.2144122306
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,ena_ma30,0.1609233833
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,dena_lag1,0.0373061261
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,dena_lag7,-0.0221961986
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,p_lag1,0.3520397770
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,p_lag2,0.1859693236
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,p_lag7,0.2998142666
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,p_ma3,-0.0279985615
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,p_ma7,0.1105324578
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,dp_lag1,0.2408728025
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,dp_lag7,0.0594254358
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,intercepto,0.0858131450
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,mes_sin,-0.0165841001
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,mes_cos,-0.0043489956
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_lag1,-0.1372690088
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_lag2,-0.0385672877
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_lag3,-0.0856837819
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_lag7,-0.1725460287
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_lag14,0.0250904487
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_lag30,0.0441868171
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_ma3,-0.0899321453
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_ma7,0.4108179264
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_ma14,0.0986948568
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,q_ma30,-0.0676581221
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,dq_lag1,-0.0721966146
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,dq_lag7,0.0227314218
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_lag1,0.0358205138
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_lag2,0.0298877279
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_lag3,0.1670326443
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_lag7,0.0394611123
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_lag14,-0.0311121479
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_lag30,-0.0852063061
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_ma3,0.0781051686
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_ma7,-0.1934183117
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_ma14,-0.2110279262
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,ena_ma30,0.1765830432
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,dena_lag1,0.0427891697
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,dena_lag7,-0.0065849822
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,p_lag1,-0.0886289152
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,p_lag2,-0.1118772414
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,p_lag7,0.0479883050
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,p_ma3,-0.0347511943
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,p_ma7,0.1444823916
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,dp_lag1,0.0337199626
ridge_residuo_sobre_persistencia,residuo_sobre_persistencia,operacional_lags_com_geracao,dp_lag7,-0.1554515755
