data,geracao_real_mwmed,persistencia_mwmed,mlp_absoluto_hidro_longo_mwmed,mlp_anomalia_mensal_hidro_longo_mwmed,ridge_residual_hidro_longo_mwmed,rf_residual_hidro_longo_mwmed,mlp_residual_hidro_longo_mwmed
2024-05-22,6288.5042,5986.6308,6880.9552,7346.3771,5961.1600,5974.7265,5973.7797
2024-05-23,6472.3923,6288.5042,6836.7372,7328.3596,6269.8777,6267.4628,6277.6202
2024-05-24,6095.0466,6472.3923,6795.4866,7230.9778,6452.7093,6436.8428,6462.1180
2024-05-25,5534.2567,6095.0466,6770.1686,7197.5323,6078.1945,6059.9521,6084.5853
2024-05-26,5139.5568,5534.2567,6693.7295,7138.7632,5505.7442,5492.7727,5513.1944
2024-05-27,5624.5438,5139.5568,6715.8645,7092.1137,5122.9745,5129.4167,5137.7220
2024-05-28,6096.3645,5624.5438,6709.8498,7049.6925,5615.2999,5608.4404,5629.1030
2024-05-29,6272.9064,6096.3645,6668.8400,6995.9502,6101.2850,6079.8778,6112.2333
2024-05-30,5532.9820,6272.9064,6639.9257,6944.7471,6279.4785,6267.6083,6292.4534
2024-05-31,5512.3231,5532.9820,6652.4658,6943.7789,5542.1240,5532.0727,5555.3991
2024-06-01,5461.4623,5512.3231,6412.8372,6456.6886,5537.9098,5511.4138,5556.5959
2024-06-02,5208.0021,5461.4623,6409.9692,6437.8999,5499.0202,5512.3552,5517.1141
2024-06-03,6041.0645,5208.0021,6421.3224,6424.0960,5239.7975,5218.0847,5257.6561
2024-06-04,7064.1147,6041.0645,6416.2305,6408.2536,6067.4402,6057.6533,6085.0958
2024-06-05,7177.9768,7064.1147,6379.9195,6360.3246,7071.8491,7075.8244,7090.2320
2024-06-06,7376.0726,7177.9768,6320.3512,6298.0683,7179.5015,7182.0203,7194.6100
2024-06-07,6851.0015,7376.0726,6291.4921,6260.3796,7372.1664,7386.5006,7384.6166
2024-06-08,6262.1890,6851.0015,6269.5659,6234.5119,6861.0139,6859.2794,6871.8827
2024-06-09,5425.3391,6262.1890,6235.6212,6181.0102,6267.4455,6249.3844,6279.2725
2024-06-10,6084.2899,5425.3391,6181.2064,6117.2856,5419.3989,5401.3007,5427.6049
