data,geracao_mwmed,ena_bruta,ena_armazenavel,vazao
2020-01-24,11298.427166666666,16145.37792969,16137.74121094,6479.77490234375
2020-01-25,10282.071333333331,16099.44921875,16096.69921875,6583.25
2020-01-26,9697.089708333331,16318.18164063,16316.34863281,5678.6201171875
2020-01-27,10775.010708333331,16588.515625,16572.93359375,6260.22509765625
2020-01-28,11224.813333333334,17016.16796875,17001.19726563,6917.0400390625
2020-01-29,11064.669125,17576.00195313,17559.80859375,6942.054931640625
2020-01-30,10749.617791666666,18230.15820313,18217.02148438,6665.98486328125
2020-01-31,10664.403208333331,18934.046875,18926.71484375,7013.719970703125
2020-02-01,10659.818791666668,19476.38671875,19473.33203125,8296.83984375
2020-02-02,10181.483916666666,19744.30664063,19742.47460938,7332.280029296875
2020-02-03,11132.057208333334,20102.10742188,20093.859375,6680.760009765625
2020-02-04,11448.54825,20404.07617188,20391.85546875,7485.280029296875
2020-02-05,11642.154166666667,20705.96289063,20694.04882813,7100.4599609375
2020-02-06,11553.940875,20978.12695313,20964.68554688,7279.635009765625
2020-02-07,11162.898083333332,21233.44140625,21223.359375,7143.530029296875
2020-02-08,10392.198041666668,21400.86328125,21399.02929688,7074.93994140625
2020-02-09,9770.274416666667,21614.50976563,21612.67578125,7178.945068359375
2020-02-10,10037.042666666666,21257.44140625,21240.63867188,6712.6201171875
2020-02-11,10501.700541666669,22127.44726563,22114.6171875,6713.68994140625
2020-02-12,10985.772541666667,22733.21679688,22720.99609375,6508.06005859375
2020-02-13,10825.432791666666,23320.02539063,23304.44335938,6342.5400390625
2020-02-14,10903.270791666668,24036.15429688,24024.23828125,6577.97509765625
2020-02-15,10335.378125,24953.8203125,24951.98632813,6291.7099609375
2020-02-16,9808.246208333332,25851.22460938,25849.390625,6063.10009765625
2020-02-17,11158.736583333332,26510.3125,26496.86914063,6807.284912109375
2020-02-18,11440.384958333334,26963.62890625,26949.57617188,7768.929931640625
2020-02-19,10685.51025,27319.84375,27307.01367188,8003.610107421875
2020-02-20,10837.248666666666,27651.4296875,27638.59765625,8795.97509765625
2020-02-21,10255.214208333333,27761.31445313,27751.84375,9030.009765625
2020-02-22,8939.709416666667,27660.51953125,27658.6875,7927.9599609375
2020-02-23,9075.926583333334,27438.14648438,27436.3125,6552.93505859375
2020-02-24,9526.766416666667,27148.38085938,27139.52148438,6296.81005859375
2020-02-25,9972.279875,26975.3203125,26953.62890625,6718.110107421875
2020-02-26,10092.083458333333,26759.83789063,26740.89648438,7316.300048828125
2020-02-27,9890.46425,26821.02734375,26806.97460938,7856.455078125
2020-02-28,9424.931166666667,26746.42578125,26741.23242188,7544.64990234375
2020-02-29,9164.991458333334,26721.65039063,26710.04101563,6994.91015625
2020-03-01,8830.065625000001,26779.94726563,26778.11328125,6491.89501953125
2020-03-02,9574.782041666667,26938.39453125,26921.28710938,6201.25
2020-03-03,10355.029875,27247.58203125,27229.55859375,7296.010009765625
2020-03-04,10272.559625,27600.95507813,27588.734375,7331.16015625
2020-03-05,10558.294166666668,28013.74023438,28001.52148438,7407.050048828125
2020-03-06,10046.291791666668,28376.23632813,28366.765625,8052.199951171875
2020-03-07,9181.034541666666,28666.921875,28665.08789063,6587.885009765625
2020-03-08,8654.815583333333,28686.18164063,28684.34960938,5809.7900390625
2020-03-09,9631.227875,28643.55859375,28629.50585938,5857.68994140625
2020-03-10,10134.333875,28284.76367188,28269.79492188,6955.4150390625
2020-03-11,10579.000458333334,27743.5390625,27726.43164063,7860.85498046875
2020-03-12,10336.503833333334,27003.92578125,26991.70507813,7596.949951171875
2020-03-13,10319.303458333334,26122.80078125,26115.16210938,6975.18994140625
2020-03-14,9671.474666666669,25070.77929688,25068.9453125,6367.080078125
2020-03-15,9442.976125,23861.85742188,23860.0234375,5593.89501953125
2020-03-16,9968.944708333334,22638.34179688,22627.03710938,6613.60498046875
2020-03-17,9781.671916666666,21395.31640625,21383.40234375,7335.364990234375
